rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.44724900218797,82.8650723548041,600956,新天绿能,bottom_area,2024-09-04,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-1.6035,0.2632,2,2,2,100.0,29.592978019840494,41.27358490566036,13.952095808383227,1.0479041916167708,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
2,91.03972339151761,83.6594236605443,002219,新里程,bottom_area,2024-09-04,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.0,0.666,2,2,2,100.0,34.81175156302061,45.685279187817265,12.041420118343192,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,89.78315292469419,81.9545548244838,300562,乐心医疗,bottom_area,2024-09-04,11.84,2024-09-04,11.54,2.5996533795494,7.972270363951489,32.672112018669786,False,-1.5794,30.3589,4,4,4,100.0,19.57937919277642,22.71604938271605,12.4003466204506,2.5996533795494,历史4/4次成功; 当前距低点2.60%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,89.28851567224037,79.7430703745368,301571,国科天成,bottom_area,2024-09-04,38.32,2024-09-03,37.78,1.429327686606668,6.643726839597665,32.919034090909086,False,-1.5416,29.7015,1,1,1,100.0,43.34374999999999,43.34374999999999,13.570672313393331,1.429327686606668,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,86.86797018044717,80.22910666232318,000532,华金资本,bottom_area,2024-09-04,10.55,2024-09-04,10.22,3.2289628180039145,4.500978473581204,27.926657263751757,False,0.9569,3.0413,2,2,2,100.0,28.877106921355356,32.044198895027606,11.771037181996086,3.2289628180039145,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
6,85.89659666283083,74.69269275028769,000517,荣安地产,bottom_area,2024-09-04,1.99,2024-09-04,1.99,0.0,3.5175879396984957,29.432624113475175,False,-2.451,1.0397,2,2,2,100.0,34.10049865746067,40.92827004219408,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
7,85.52381870587747,75.84560365602069,000983,山西焦煤,bottom_area,2024-09-04,7.68,2024-08-26,7.6,1.0526315789473695,6.578947368421052,29.95391705069125,False,-1.7903,0.3639,3,4,3,75.0,21.938729333444627,27.212389380530986,13.94736842105263,1.0526315789473695,历史3/4次成功; 当前距低点1.05%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
8,84.44243091710054,77.92045454545456,000957,中通客车,bottom_area,2024-09-04,9.08,2024-08-29,8.8,3.1818181818181746,7.159090909090897,31.25,True,-1.0893,2.4582,3,4,3,75.0,132.3344468028054,354.54545454545456,11.818181818181825,3.1818181818181746,历史3/4次成功; 当前距低点3.18%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
9,83.7086120699495,75.8252672221093,002674,兴业科技,bottom_area,2024-09-04,7.94,2024-08-21,7.77,2.1879021879021985,6.30630630630631,31.72231985940247,False,-0.3764,0.3548,1,1,1,100.0,31.578947368421055,31.578947368421055,12.8120978120978,2.1879021879021985,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
10,83.00822227498792,77.28597354264465,301333,诺思格,bottom_area,2024-09-04,39.06,2024-08-29,37.68,3.662420382165612,7.4575371549893905,28.744326777609686,True,2.2513,2.8236,1,1,1,100.0,25.840279645065877,25.840279645065877,11.337579617834386,3.662420382165612,历史1/1次成功; 当前距低点3.66%; 最新日涨幅2.25%; 状态bottom_area; 底部已确认
11,82.8657059963686,73.27301145002639,001218,丽臣实业,bottom_area,2024-09-04,13.52,2024-08-30,13.4,0.8955223880596956,4.850746268656718,32.323232323232325,False,-0.6613,0.7285,2,2,2,100.0,25.18711018711019,29.999999999999993,14.104477611940302,0.8955223880596956,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
12,81.68533260113497,74.02809508248096,603079,圣达生物,bottom_area,2024-09-04,10.62,2024-08-26,10.39,2.213666987487956,6.929740134744936,28.83561643835616,False,-1.6667,1.128,1,1,1,100.0,22.232558139534888,22.232558139534888,12.786333012512044,2.213666987487956,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
13,80.86989182802975,70.46468341874686,001286,陕西能源,bottom_area,2024-09-04,9.21,2024-09-04,9.2,0.10869565217393004,2.065217391304362,27.15756136183691,False,-2.333,1.4764,1,1,1,100.0,17.110266159695826,17.110266159695826,14.89130434782607,0.10869565217393004,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
14,80.57962392289981,70.6554585535771,600011,华能国际,bottom_area,2024-09-04,6.76,2024-09-04,6.73,0.4457652303120261,1.7830609212481308,32.02020202020202,False,-1.1696,0.3504,1,1,1,100.0,22.267759562841515,22.267759562841515,14.554234769687973,0.4457652303120261,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
15,80.31989990802532,74.910531385373,002715,登云股份,bottom_area,2024-09-04,9.95,2024-08-23,9.59,3.753910323253383,7.4035453597497485,31.45103645461044,True,-0.8964,1.1381,1,1,1,100.0,36.66369313113291,36.66369313113291,11.246089676746616,3.753910323253383,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
16,78.70222887703216,69.44314312679307,002357,富临运业,bottom_area,2024-09-04,5.16,2024-08-29,5.12,0.7812500000000007,4.492187499999991,28.08988764044944,False,-0.7692,2.0124,3,4,3,75.0,24.02899530533914,31.941031941031934,14.21875,0.7812500000000007,历史3/4次成功; 当前距低点0.78%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
17,77.91570954022579,68.78994647908863,000708,中信特钢,bottom_area,2024-09-04,11.16,2024-09-04,11.07,0.8130081300812995,2.2583559168925023,32.08588957055215,False,-1.1515,0.1497,1,1,1,100.0,16.739811912225715,16.739811912225715,14.1869918699187,0.8130081300812995,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
18,76.14753862819197,69.32326952943137,000597,东北制药,bottom_area,2024-09-04,4.17,2024-08-26,4.07,2.457002457002448,5.65110565110564,32.053422370617696,False,-0.9501,1.2232,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,12.542997542997552,2.457002457002448,历史2/3次成功; 当前距低点2.46%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
19,74.97385334545706,69.90049674850948,002230,科大讯飞,bottom_area,2024-09-04,33.88,2024-08-28,32.66,3.7354562155542137,6.399265156154328,28.093350946719518,False,-0.616,0.5351,1,1,1,100.0,18.69535978480161,18.69535978480161,11.264543784445785,3.7354562155542137,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
20,70.03438857020116,62.114180789602294,603069,海汽集团,bottom_area,2024-09-04,14.34,2024-09-04,14.19,1.0570824524312923,4.862579281183941,30.982490272373536,False,-5.0331,2.7047,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,13.942917547568706,1.0570824524312923,历史2/6次成功; 当前距低点1.06%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
