rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.14912732647898,81.40447724159938,300363,博腾股份,bottom_area,2023-06-09,29.88,2023-06-08,29.29,2.0143393649709793,4.335950836462955,29.77703188683769,False,1.4946,1.9758,1,1,1,100.0,36.97403760071621,36.97403760071621,17.98566063502902,2.0143393649709793,历史1/1次成功; 当前距低点2.01%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
2,94.01719833632863,80.71531450577665,600935,华塑股份,bottom_area,2023-06-09,3.75,2023-05-31,3.69,1.6260162601626031,3.2520325203252063,27.788649706457928,False,0.5362,0.2426,1,1,1,100.0,28.50877192982458,28.50877192982458,18.3739837398374,1.6260162601626031,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
3,91.83780318203951,79.35132963734381,688176,亚虹医药,bottom_area,2023-06-09,11.35,2023-06-09,11.13,1.9766397124887587,4.043126684636112,31.211372064276876,False,1.0686,1.7944,1,1,1,100.0,25.473484848484844,25.473484848484844,18.02336028751124,1.9766397124887587,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,90.0739697696987,78.92519162461899,300762,上海瀚讯,bottom_area,2023-06-09,11.61,2023-06-09,11.3,2.743362831858396,2.920353982300885,28.390367553865648,False,2.2907,1.3571,1,1,1,100.0,32.580961727183514,32.580961727183514,17.256637168141605,2.743362831858396,历史1/1次成功; 当前距低点2.74%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
5,89.77232158244071,76.36276161684698,002041,登海种业,bottom_area,2023-06-09,15.33,2023-06-07,15.16,1.1213720316622686,2.9023746701846935,28.49056603773585,False,-0.905,0.3786,1,1,1,100.0,21.395106715252467,21.395106715252467,18.87862796833773,1.1213720316622686,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
6,88.2103011270742,77.49434150534027,600995,南网储能,bottom_area,2023-06-09,11.05,2023-06-07,10.74,2.886405959031662,3.351955307262564,32.7909887359199,False,0.546,1.4602,1,1,1,100.0,26.64165103189493,26.64165103189493,17.113594040968337,2.886405959031662,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
7,88.04754587123922,78.85905747763928,688075,安旭生物,bottom_area,2023-06-09,67.2,2023-05-10,64.65,3.9443155452436143,7.764887857695276,30.37906525953047,True,1.2506,2.018,4,5,4,80.0,31.086542584917854,40.134529147982065,16.055684454756385,3.9443155452436143,历史4/5次成功; 当前距低点3.94%; 最新日涨幅1.25%; 状态bottom_area; 底部已确认
8,87.58885357631979,74.25561533006237,688289,圣湘生物,bottom_area,2023-06-09,17.22,2023-06-09,17.06,0.9378663540445497,2.403282532239157,30.791075050709942,False,0.0,1.0062,1,1,1,100.0,25.182530200451346,25.182530200451346,19.062133645955452,0.9378663540445497,历史1/1次成功; 当前距低点0.94%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,86.45171765366074,76.84181651309379,601111,中国国航,bottom_area,2023-06-09,8.22,2023-06-02,7.94,3.526448362720406,5.163727959697724,29.920564872021178,False,0.8589,0.5365,1,1,1,100.0,30.97913322632423,30.97913322632423,16.473551637279595,3.526448362720406,历史1/1次成功; 当前距低点3.53%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
10,84.36590317280276,73.60985141501665,600256,广汇能源,bottom_area,2023-06-09,7.35,2023-06-01,7.17,2.5104602510460214,5.718270571827059,29.49852507374631,False,-0.9434,0.9371,1,1,1,100.0,23.62204724409449,23.62204724409449,17.48953974895398,2.5104602510460214,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
11,81.2266163230999,72.79530860466876,300753,爱朋医疗,bottom_area,2023-06-09,19.34,2023-06-06,18.6,3.978494623655905,7.526881720430099,32.017543859649116,True,-1.1753,19.9379,1,1,1,100.0,28.044496487119456,28.044496487119456,16.0215053763441,3.978494623655905,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
