rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.09419645373247,79.63534883720928,603013,亚普股份,bottom_area,2024-01-12,16.67,2024-01-10,16.34,2.0195838433292645,3.671970624235015,28.175824175824175,False,-0.6555,0.3993,1,1,1,100.0,53.30739299610896,53.30739299610896,17.980416156670735,2.0195838433292645,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
2,88.38186503864388,77.65040462427746,600172,黄河旋风,bottom_area,2024-01-12,3.56,2024-01-08,3.46,2.890173410404627,4.913294797687859,29.098360655737704,False,-1.1111,1.2586,1,1,1,100.0,51.074589127686465,51.074589127686465,17.10982658959537,2.890173410404627,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
3,87.7909490892963,75.39661367570088,600006,东风股份,bottom_area,2024-01-12,5.56,2024-01-10,5.47,1.6453382084095038,3.2906764168190237,27.645502645502646,False,-1.0676,0.4882,1,1,1,100.0,22.6235741444867,22.6235741444867,18.354661791590498,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
4,87.2163588809068,76.72064418298339,002385,大北农,bottom_area,2024-01-12,5.57,2024-01-09,5.41,2.957486136783736,4.251386321626609,27.38255033557047,False,0.0,0.7037,1,1,1,100.0,23.353293413173663,23.353293413173663,17.042513863216264,2.957486136783736,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,85.59199790088897,76.22017831090942,002413,雷科防务,bottom_area,2024-01-12,5.14,2024-01-10,4.96,3.6290322580645102,4.032258064516133,27.906976744186046,False,0.7843,1.934,1,1,1,100.0,28.894472361809044,28.894472361809044,16.37096774193549,3.6290322580645102,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
6,84.07955425211802,70.52478970582176,600981,苏豪汇鸿,bottom_area,2024-01-12,2.82,2024-01-10,2.81,0.35587188612098886,2.8469750889679744,27.948717948717945,False,-1.7422,0.8912,1,1,1,100.0,20.463320463320475,20.463320463320475,19.644128113879013,0.35587188612098886,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
7,82.91648930409502,70.22072272638248,002632,道明光学,bottom_area,2024-01-12,8.02,2024-01-11,7.95,0.8805031446540804,4.276729559748415,31.876606683804624,False,-2.9056,6.0693,1,1,1,100.0,25.259515570934255,25.259515570934255,19.119496855345922,0.8805031446540804,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
8,81.9631165738109,68.89841678686722,002862,实丰文化,bottom_area,2024-01-12,16.96,2024-01-12,16.88,0.47393364928911047,7.345971563981054,32.45298119247699,False,-6.8132,22.0604,1,1,1,100.0,23.381642512077295,23.381642512077295,19.52606635071089,0.47393364928911047,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
9,74.97536875231394,64.06671232876711,000070,特发信息,bottom_area,2024-01-12,7.4,2024-01-10,7.3,1.3698630136986376,3.2876712328767157,29.604628736740597,False,-1.4647,0.8903,1,2,1,50.0,50.60532687651331,50.60532687651331,18.630136986301363,1.3698630136986376,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
10,73.84578675076366,65.64655801835113,300745,欣锐科技,bottom_area,2024-01-12,24.9,2024-01-10,24.05,3.5343035343035254,6.320166320166318,27.777777777777768,False,1.1784,2.705,2,4,2,50.0,29.21919396001701,36.150000000000006,16.465696465696475,3.5343035343035254,历史2/4次成功; 当前距低点3.53%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
11,71.38497717412018,60.36054607618235,688079,美迪凯,bottom_area,2024-01-12,10.14,2024-01-12,10.06,0.7952286282306169,3.0815109343936253,28.55113636363636,False,-2.6871,2.7407,2,4,2,50.0,29.53584595993638,30.064655172413808,19.204771371769382,0.7952286282306169,历史2/4次成功; 当前距低点0.80%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
