rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.52673244844742,77.6622269533745,301386,未来电器,bottom_area,2023-07-31,27.13,2023-07-28,26.84,1.080476900149028,2.2727272727272707,28.13922356091031,False,-0.1105,10.4491,1,1,1,100.0,27.880184331797242,27.880184331797242,13.919523099850972,1.080476900149028,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
2,87.23689489875935,77.77407012266933,688095,福昕软件,bottom_area,2023-07-31,99.42,2023-07-31,98.11,1.3352359596371444,5.279787993069012,27.325925925925926,False,-4.2565,6.2943,2,2,2,100.0,25.152731777645194,31.679509356817103,13.664764040362856,1.3352359596371444,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
3,85.54120848803845,76.43921909440141,688143,长盈通,bottom_area,2023-07-31,30.59,2023-07-31,30.15,1.4593698175787773,3.2504145936981774,27.85355348169419,False,-0.5527,2.0369,1,1,1,100.0,25.949367088607595,25.949367088607595,13.540630182421223,1.4593698175787773,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
4,84.79800748146545,75.85078053731029,300515,三德科技,bottom_area,2023-07-31,13.42,2023-07-28,13.22,1.5128593040847147,2.7987897125567263,27.162534435261698,False,-0.4451,1.2686,1,1,1,100.0,23.441396508728182,23.441396508728182,13.487140695915285,1.5128593040847147,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
5,83.49188784124127,77.25683088844153,300342,天银机电,bottom_area,2023-07-31,11.48,2023-07-28,11.11,3.330333033303339,4.230423042304237,28.368794326241137,False,-0.087,4.5173,3,3,3,100.0,19.9461838944793,26.68539325842696,11.66966696669666,3.330333033303339,历史3/3次成功; 当前距低点3.33%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
6,76.88052714495869,73.12469598555712,002045,国光电器,bottom_area,2023-07-31,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,2.8003,3.6341,3,4,3,75.0,30.875707313510432,33.77563329312426,10.191585274229912,4.808414725770088,历史3/4次成功; 当前距低点4.81%; 最新日涨幅2.80%; 状态bottom_area; 底部未确认
7,76.7341392786155,69.44027055578795,000037,深南电A,bottom_area,2023-07-31,10.52,2023-07-31,10.3,2.135922330097076,2.815533980582516,30.311231393775362,False,0.286,3.924,3,6,3,50.0,32.47405090542621,45.16765285996055,12.864077669902924,2.135922330097076,历史3/6次成功; 当前距低点2.14%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
8,76.37081835597864,72.62850965250965,002219,新里程,bottom_area,2023-07-31,3.93,2023-07-28,3.75,4.800000000000004,6.400000000000006,27.884615384615387,False,0.0,0.8036,1,1,1,100.0,23.938223938223942,23.938223938223942,10.199999999999996,4.800000000000004,历史1/1次成功; 当前距低点4.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,76.25426355847425,71.48566757382785,002755,奥赛康,bottom_area,2023-07-31,8.26,2023-07-17,7.94,4.030226700251881,6.171284634760696,28.853046594982075,False,-1.432,0.4136,1,1,1,100.0,30.831099195710454,30.831099195710454,10.969773299748118,4.030226700251881,历史1/1次成功; 当前距低点4.03%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
10,75.76583464844016,67.75948241233952,002829,星网宇达,bottom_area,2023-07-31,31.06,2023-07-28,30.6,1.5032679738562003,2.7450980392156854,31.6506589233862,False,-0.3849,2.2941,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,13.496732026143798,1.5032679738562003,历史2/3次成功; 当前距低点1.50%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
11,74.03973333165861,70.62210409745295,002602,世纪华通,bottom_area,2023-07-31,5.29,2023-07-31,5.04,4.9603174603174605,6.7460317460317425,27.482014388489212,False,2.7184,3.5561,1,1,1,100.0,15.116279069767447,15.116279069767447,10.03968253968254,4.9603174603174605,历史1/1次成功; 当前距低点4.96%; 最新日涨幅2.72%; 状态bottom_area; 底部未确认
12,73.72498445114542,68.3673908051886,300633,开立医疗,bottom_area,2023-07-31,45.62,2023-07-31,44.1,3.4467120181405804,9.614512471655333,29.575215586074734,False,-4.8989,2.8979,1,1,1,100.0,17.12846347607052,17.12846347607052,11.55328798185942,3.4467120181405804,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-4.90%; 状态bottom_area; 底部未确认
